n_ops, s_size, gpu, cpu
128,200000,0.000164512,1.056e-06
128,200000,0.000163904,1.088e-06
128,200000,0.000162784,1.056e-06
128,200000,0.000164832,1.088e-06
128,200000,0.000162656,1.056e-06
128,200000,0.000187168,1.056e-06
128,200000,0.000161728,1.056e-06
256,2000,2.592e-05,1.088e-06
256,2000,2.384e-05,1.056e-06
256,2000,2.3968e-05,1.056e-06
256,2000,2.4128e-05,1.088e-06
256,2000,2.3968e-05,1.056e-06
256,2000,2.3232e-05,1.12e-06
256,2000,2.2976e-05,1.056e-06
256,2000,2.2784e-05,1.056e-06
256,2000,2.4224e-05,1.088e-06
256,2000,2.4e-05,1.056e-06
256,20000,3.5488e-05,1.088e-06
256,20000,3.5744e-05,1.056e-06
256,20000,3.5648e-05,1.056e-06
256,20000,3.4688e-05,1.056e-06
256,20000,3.8592e-05,1.088e-06
256,20000,3.44e-05,1.056e-06
256,20000,3.4752e-05,1.056e-06
256,20000,5.9616e-05,1.056e-06
256,20000,3.4944e-05,1.088e-06
256,20000,3.5712e-05,1.056e-06
256,200000,0.000273504,1.056e-06
256,200000,0.000162912,1.056e-06
256,200000,0.00017184,1.056e-06
256,200000,0.00016528,1.056e-06
256,200000,0.000191264,1.056e-06
256,200000,0.000171104,1.088e-06
256,200000,0.0001632,1.056e-06
256,200000,0.000166176,1.056e-06
256,200000,0.000162944,1.056e-06
256,200000,0.00019296,1.056e-06
512,2000,2.5568e-05,1.344e-06
512,2000,2.3936e-05,1.056e-06
512,2000,2.3968e-05,1.056e-06
512,2000,2.2912e-05,1.088e-06
512,2000,2.528e-05,1.056e-06
512,2000,2.4832e-05,1.088e-06
512,2000,2.5888e-05,1.056e-06
512,2000,2.3392e-05,1.056e-06
512,2000,2.3904e-05,1.088e-06
512,2000,2.528e-05,1.088e-06
512,20000,3.6832e-05,1.088e-06
512,20000,3.5392e-05,1.056e-06
512,20000,3.52e-05,1.216e-06
512,20000,3.7248e-05,1.056e-06
512,20000,3.4496e-05,1.056e-06
512,20000,3.6384e-05,1.056e-06
512,20000,3.6e-05,1.312e-06
512,20000,3.5968e-05,1.088e-06
512,20000,3.7664e-05,1.056e-06
512,20000,3.536e-05,1.056e-06
512,200000,0.000300512,1.344e-06
512,200000,0.000166112,1.056e-06
512,200000,0.000164608,1.056e-06
512,200000,0.000164608,1.056e-06
512,200000,0.000166624,1.056e-06
512,200000,0.000186496,1.056e-06
512,200000,0.001193984,1.152e-06
512,200000,0.001123936,1.056e-06
512,200000,0.000203296,1.056e-06
512,200000,0.00016976,1.28e-06
1024,2000,2.8608e-05,1.504e-06
1024,2000,2.4672e-05,1.792e-06
1024,2000,2.3968e-05,1.536e-06
1024,2000,2.384e-05,1.504e-06
1024,2000,2.368e-05,1.632e-06
1024,2000,2.4704e-05,1.536e-06
1024,2000,2.4448e-05,1.504e-06
1024,2000,2.224e-05,1.536e-06
1024,2000,2.3232e-05,1.504e-06
1024,2000,2.336e-05,1.536e-06
1024,20000,3.5776e-05,1.568e-06
1024,20000,3.6256e-05,1.504e-06
1024,20000,0.000147232,1.504e-06
1024,20000,3.5552e-05,1.568e-06
1024,20000,3.616e-05,1.536e-06
1024,20000,3.5904e-05,1.536e-06
1024,20000,3.6064e-05,1.568e-06
1024,20000,3.5744e-05,1.536e-06
1024,20000,3.632e-05,1.472e-06
1024,20000,3.472e-05,1.376e-06
1024,200000,0.000274912,1.152e-06
1024,200000,0.000163328,1.856e-06
1024,200000,0.00018592,1.536e-06
1024,200000,0.000169696,1.536e-06
1024,200000,0.000168448,1.568e-06
1024,200000,0.000169664,1.536e-06
1024,200000,0.000162464,1.504e-06
1024,200000,0.000169952,1.312e-06
1024,200000,0.000165984,1.536e-06
1024,200000,0.000163552,1.76e-06
2048,2000,2.688e-05,2.368e-06
2048,2000,2.4256e-05,2.464e-06
2048,2000,2.4064e-05,2.4e-06
2048,2000,2.4992e-05,2.304e-06
2048,2000,2.4544e-05,2.496e-06
2048,2000,2.3648e-05,2.304e-06
2048,2000,2.3264e-05,2.528e-06
2048,2000,2.3264e-05,2.368e-06
2048,2000,2.4704e-05,2.496e-06
2048,2000,2.4832e-05,2.112e-06
2048,20000,3.5712e-05,2.528e-06
2048,20000,3.584e-05,2.368e-06
2048,20000,3.6224e-05,2.464e-06
2048,20000,3.6256e-05,2.528e-06
2048,20000,3.6928e-05,2.72e-06
2048,20000,3.552e-05,2.528e-06
2048,20000,3.5904e-05,2.464e-06
2048,20000,3.5552e-05,2.592e-06
2048,20000,3.504e-05,2.688e-06
2048,20000,3.6704e-05,2.368e-06
2048,200000,0.00027008,2.592e-06
2048,200000,0.000187232,2.752e-06
2048,200000,0.00017232,2.848e-06
2048,200000,0.00016288,2.368e-06
2048,200000,0.000169952,2.528e-06
2048,200000,0.000163136,2.4e-06
2048,200000,0.000163648,2.432e-06
2048,200000,0.000174848,2.528e-06
2048,200000,0.000162624,1.952e-06
2048,200000,0.000172736,2.496e-06
4096,2000,2.672e-05,4.224e-06
4096,2000,2.4384e-05,4.064e-06
4096,2000,2.4096e-05,4.32e-06
4096,2000,2.32e-05,4.352e-06
4096,2000,2.4768e-05,4.352e-06
4096,2000,2.4416e-05,4.32e-06
4096,2000,2.352e-05,4.288e-06
4096,2000,2.3552e-05,4.16e-06
4096,2000,2.4e-05,4.192e-06
4096,2000,2.512e-05,4.224e-06
4096,20000,3.6672e-05,4.32e-06
4096,20000,3.6096e-05,4.288e-06
4096,20000,6.5056e-05,4.352e-06
4096,20000,3.7088e-05,4.576e-06
4096,20000,3.5392e-05,4.224e-06
4096,20000,3.6096e-05,4.288e-06
4096,20000,3.5488e-05,4.576e-06
