n_ops, gpu, cpu
67108864,1.408e-05,0.0591904
67108864,6.848e-06,0.05786317
67108864,6.144e-06,0.05962138
67108864,6.112e-06,0.05858813
67108864,7.168e-06,0.05944214
67108864,6.144e-06,0.05912064
67108864,6.144e-06,0.05840688
134217728,7.008e-06,0.118868
134217728,6.688e-06,0.1161478
134217728,8.192e-06,0.1217844
134217728,7.168e-06,0.115204
134217728,7.2e-06,0.1177468
134217728,1.2128e-05,0.1188219
134217728,7.776e-06,0.1133015
134217728,6.144e-06,0.1163889
134217728,7.008e-06,0.117484
134217728,6.112e-06,0.118432
268435456,6.144e-06,0.2362641
268435456,1.1264e-05,0.2357904
268435456,1.4336e-05,0.2372925
268435456,1.1168e-05,0.2300743
268435456,6.688e-06,0.244095
268435456,9.952e-06,0.2370966
268435456,1.3312e-05,0.2331666
268435456,1.0208e-05,0.235026
268435456,7.872e-06,0.2310528
268435456,1.024e-05,0.232385
536870912,8.096e-06,0.4785838
536870912,1.4336e-05,0.4640047
536870912,1.2288e-05,0.485847
536870912,1.4336e-05,0.4675389
536870912,1.4048e-05,0.4858314
536870912,1.536e-05,0.4653893
536870912,1.1264e-05,0.4819313
536870912,1.488e-05,0.4694954
536870912,1.0912e-05,0.481365
536870912,1.488e-05,0.4688364
1073741824,9.216e-06,0.9374689
1073741824,1.4336e-05,0.9412186
1073741824,1.4336e-05,0.9407363
1073741824,1.4336e-05,0.9501716
1073741824,1.4304e-05,0.9584155
1073741824,1.3984e-05,0.9450762
1073741824,1.4336e-05,0.9614468
1073741824,1.4336e-05,0.9533553
1073741824,1.4336e-05,0.9430037
1073741824,1.5232e-05,0.9422475
2147483648,1.4912e-05,1.874441
2147483648,1.4336e-05,1.894317
2147483648,1.5232e-05,1.867507
2147483648,1.3856e-05,1.907131
2147483648,1.4336e-05,1.922799
2147483648,1.4976e-05,1.903076
2147483648,1.504e-05,1.871313
2147483648,1.4336e-05,1.918032
2147483648,1.4336e-05,1.899341
2147483648,1.6128e-05,1.888693
4294967296,1.5328e-05,3.784196
4294967296,1.5008e-05,3.793321
4294967296,1.4304e-05,3.783952
4294967296,1.4336e-05,3.785632
4294967296,1.4304e-05,3.762271
4294967296,1.5072e-05,3.780952
4294967296,1.4336e-05,3.760927
4294967296,1.5104e-05,3.77131
4294967296,1.4912e-05,3.764022
4294967296,1.5264e-05,3.785764
8589934592,1.536e-05,7.51272
8589934592,1.4336e-05,7.596564
8589934592,1.5264e-05,7.540563
8589934592,1.4336e-05,7.615717
8589934592,1.7408e-05,7.526487
8589934592,1.4944e-05,7.584744
8589934592,1.5072e-05,7.560332
8589934592,1.5072e-05,7.550992
8589934592,1.536e-05,7.532651
8589934592,1.5296e-05,7.535185
